"Tablas","userOPAC","userINTRA","userDevelop","userAdmin"
" ",,,,
"| sist_sesion                        "SELECT, INSERT, UPDATE, DELETE","SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| unavailable                        "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| uploadedmarc                       "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| usr_estado                         "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| usr_permiso                        "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| usr_persona                        "SELECT, UPDATE","SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| usr_ref_categoria_socio            "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| usr_ref_estado                     "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| usr_ref_tipo_documento             "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| usr_socio                          "SELECT, UPDATE","SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| usr_socio_relacionado              "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| z3950queue                         "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| z3950results                       "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| perm_general "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| perm_circulacion "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| perm_reporte "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| perm_catalogo "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| cat_portada_registro "SELECT, INSERT, UPDATE, DELETE","ALL","ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
